# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:12
# SEK
#----------------------------

"status","UID-142","ENST00000530727.5"
"case","4.283895e-01","2.227980e+03"
"control","    1.070963","7.319254e+03"
"case","2.069715e+01","6.095810e+03"
"control","2.122093e+00","4.913188e+03"
"case","8.794895e+00","5.042827e+03"
"control","0.000000e+00","5.498312e+03"
"case","4.326106e+01","4.567731e+03"
"control","7.581303e+00","5.730062e+03"
"case","7.542741e-01","3.264198e+03"
"case","9.104646e+00","3.755473e+03"
"case","    8.529401","2.338775e+03"
"control","    0.000000","2.693368e+03"
"case","    0.000000","3.229783e+03"
"control","    0.000000","4.225877e+03"
"case","   10.258884","3.133189e+03"
"control","    9.910450","3.051148e+03"
"case","3.635293e+00","2.915501e+03"
"case","1.665088e+01","3.313186e+03"
"control","    2.19416","3.603390e+03"
"case","    7.345359","3.338663e+03"
"control","    3.135288","4.260378e+03"
"case","    7.922413","3.530312e+03"
"case","5.538186e+00","3.285714e+03"
"control","0.000000e+00","1.905750e+03"
"control","3.795748e+00","2.578621e+03"
"case","    1.317490","1.681497e+03"
"control","    2.687381","3.135816e+03"
"case","    6.717306","1.030932e+03"
"case","1.257031e+01","4.248236e+03"
"case","    0.000000","   1565.7408"
"case","1.743626e+00","4.426753e+03"
"case","8.550097e+00","3.661315e+03"
"control","    0.000000","1.145490e+03"
"control","    1.024218","2.229947e+03"
"control","    3.854194","1.412081e+03"
"case","    0.000000","3.436562e+03"
"control","    8.163448","3.320837e+03"
"control","    4.710860","3.507173e+03"
"control","9.905626e-01","2.408176e+03"
"case","    7.642918","3.120374e+03"
"control","    5.246095","3.095465e+03"
"case","    8.284268","2.906685e+03"
"case","    3.707606","2.745870e+03"
"case","    4.971615","3.336796e+03"
"control","8.378125e-01","3.673964e+03"
"case","7.697282e-01","2.665575e+03"
"case","   18.365336","3.755248e+03"
"control","1.505807e+00","3.046341e+03"
"case","    1.083699","3.451105e+03"
"case","5.837765e+00","3.893115e+03"
"control","    6.591236","3.406443e+03"
"case","    2.111611","1.994179e+03"
"control","    0.000000","3.464620e+03"
"case","    1.262759","1.949397e+03"
"case","    5.531291","2.983140e+03"
"case","    9.721465","3.355812e+03"
"case","3.923682e+00","3.079625e+03"
"case","    1.447026","3.860888e+03"
