# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:14
# SEK
#----------------------------

"status","4017","ENST00000490379.1"
"case","1.370846e+01","4.853988e+00"
"control","   13.922515","7.831301e+01"
"case","8.623812e+00","5.885297e+01"
"control","1.556201e+01","2.116495e+01"
"case","1.918886e+01","3.057894e+01"
"control","0.000000e+00","1.895970e+01"
"case","1.661061e+02","0.000000e+00"
"control","9.097564e+00","1.991836e+01"
"case","1.508548e+00","3.787081e+01"
"case","0.000000e+00","3.940619e+01"
"case","    0.000000","1.921754e+01"
"control","    0.000000","5.960142e+01"
"case","   21.602348","0.000000e+00"
"control","    3.131746","7.067192e+01"
"case","    0.000000","4.176348e+01"
"control","   11.326228","5.995302e+01"
"case","2.726470e+00","6.135617e+01"
"case","9.250488e-01","5.774452e+01"
"control","    0.00000","3.549731e+01"
"case","    0.000000","3.613805e+01"
"control","   13.586250","4.693571e+01"
"case","    0.000000","3.927644e+01"
"case","0.000000e+00","5.232967e+01"
"control","7.116339e+01","3.837969e+02"
"control","5.693622e+00","4.542491e+01"
"case","    0.000000","3.972720e+01"
"control","   10.749525","5.308153e+01"
"case","    1.679327","4.261955e+01"
"case","4.834736e+00","7.827209e+01"
"case","    0.000000","     34.8192"
"case","0.000000e+00","9.588635e+01"
"case","1.900022e+00","7.520773e+01"
"control","    1.181335","3.141638e+01"
"control","    0.000000","5.396508e+01"
"control","    1.927097","4.754966e+01"
"case","    0.000000","7.770234e+01"
"control","    1.020431","5.442508e+01"
"control","    0.000000","2.867852e+01"
"control","1.981125e+00","5.963292e+01"
"case","    1.091845","6.058150e+01"
"control","    0.000000","5.790351e+01"
"case","    0.000000","5.074717e+01"
"case","    0.000000","9.872791e+01"
"case","    8.700326","5.556252e+01"
"control","6.702500e+00","1.454595e+02"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","4.790430e+01"
"control","7.529037e-01","5.566502e+01"
"case","    0.000000","6.969446e+01"
"case","3.335866e+00","8.266861e+01"
"control","    9.227730","6.033552e+01"
"case","    0.000000","5.085338e+01"
"control","    7.140065","3.834714e+02"
"case","    0.000000","8.716055e+01"
"case","    0.000000","3.935898e+01"
"case","    1.080163","4.354298e+01"
"case","4.904603e+00","6.177111e+01"
"case","    3.617565","6.751552e+01"
