# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:13
# SEK
#----------------------------

"status","3184","ENST00000491957.5"
"case","1.713558e+01","2.912393e+01"
"control","    3.212888","1.335624e+03"
"case","1.121096e+01","1.003519e+03"
"control","2.122093e+00","4.634395e+02"
"case","1.599072e+00","8.975818e+02"
"control","0.000000e+00","4.226177e+02"
"case","2.856862e+00","0.000000e+00"
"control","0.000000e+00","4.844659e+02"
"case","7.542741e-01","6.059329e+02"
"case","1.300664e+00","6.136107e+02"
"case","    0.000000","3.516810e+02"
"control","    0.000000","5.672411e+02"
"case","   94.368152","0.000000e+00"
"control","    0.000000","7.447149e+02"
"case","    3.847082","4.194910e+02"
"control","    1.415779","5.008383e+02"
"case","1.817646e+00","5.702514e+02"
"case","1.110059e+01","5.774452e+02"
"control","    0.00000","4.284443e+02"
"case","    2.098674","3.851988e+02"
"control","    0.000000","4.185742e+02"
"case","    0.000000","4.548759e+02"
"case","1.846062e+00","4.414855e+02"
"control","0.000000e+00","1.005813e+03"
"control","4.744685e+00","5.314714e+02"
"case","    0.000000","4.439083e+02"
"control","    2.687381","4.386738e+02"
"case","    6.717306","5.482947e+02"
"case","0.000000e+00","7.453801e+02"
"case","    3.359339","    381.8880"
"case","1.394901e+01","2.556969e+01"
"case","9.500108e-01","7.072419e+02"
"control","    0.000000","3.471913e+02"
"control","    0.000000","5.780666e+02"
"control","    0.000000","5.864458e+02"
"case","    2.349239","6.454592e+02"
"control","    4.081724","5.079674e+02"
"control","    0.000000","3.252563e+02"
"control","6.636769e+01","2.019568e+03"
"case","    2.183691","4.983042e+02"
"control","    2.623048","4.926545e+02"
"case","    1.380711","5.018331e+02"
"case","    0.000000","6.743469e+02"
"case","    0.000000","4.962570e+02"
"control","0.000000e+00","1.549239e+03"
"case","1.955110e+02","7.363468e+01"
"case","    0.000000","4.416178e+02"
"control","0.000000e+00","4.634845e+02"
"case","    0.000000","5.764142e+02"
"case","8.339664e-01","7.363274e+02"
"control","    0.000000","4.768182e+02"
"case","    8.446444","4.177242e+02"
"control","    1.020009","6.215805e+03"
"case","    0.000000","6.972844e+02"
"case","    0.000000","3.969829e+02"
"case","    0.000000","4.114061e+02"
"case","9.809206e-01","5.745457e+02"
"case","    2.170539","6.201426e+02"
