# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:20
# SEK
#----------------------------

"status","K-42","ENST00000474305.2"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","8.605825e-01"
"case","5.174287e+00","0.000000e+00"
"control","4.951549e+00","7.298260e-01"
"case","4.797215e+00","0.000000e+00"
"control","0.000000e+00","6.116031e-01"
"case","8.162464e-01","7.114846e+00"
"control","6.823173e+00","1.927583e+00"
"case","7.542741e-01","5.315201e+00"
"case","6.503319e-01","8.756932e+00"
"case","    0.000000","1.345228e+01"
"control","    1.347212","4.727009e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","2.051765e+01"
"case","    3.847082","1.763347e+01"
"control","    0.000000","2.490356e+01"
"case","0.000000e+00","1.588042e+01"
"case","0.000000e+00","2.849730e+01"
"control","    1.09708","2.394005e+01"
"case","    0.000000","2.792486e+01"
"control","    9.405865","2.769976e+01"
"case","    0.000000","2.192173e+01"
"case","9.230309e-01","1.474075e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","2.574078e+01"
"case","    6.587451","3.540903e+01"
"control","    4.031072","2.003077e+01"
"case","    0.000000","3.686015e+01"
"case","9.669471e-01","2.728752e+01"
"case","    0.000000","     24.7104"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","3.760386e+01"
"control","    1.181335","6.686050e+01"
"control","    0.000000","3.567183e+01"
"control","    0.000000","5.331326e+01"
"case","    0.000000","2.119155e+01"
"control","    0.000000","2.086295e+01"
"control","    3.140573","2.658009e+01"
"control","9.905626e-01","4.969410e+00"
"case","    0.000000","2.133152e+01"
"control","    0.000000","2.183247e+01"
"case","    1.380711","1.503620e+01"
"case","    0.000000","2.203748e+01"
"case","    0.000000","3.653426e+01"
"control","3.351250e+00","2.794855e+01"
"case","7.697282e-01","2.945387e+01"
"case","    9.722825","1.422159e+01"
"control","2.258711e+00","2.050816e+01"
"case","    1.083699","2.213824e+01"
"case","0.000000e+00","2.178862e+01"
"control","    6.591236","1.843585e+01"
"case","    0.000000","1.634573e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","1.405815e+01"
"case","    1.106258","1.492927e+01"
"case","    1.080163","1.801778e+01"
"case","9.809206e-01","1.860575e+01"
"case","    0.000000","2.000460e+01"
