# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:08
# SEK
#----------------------------

"status","UID-142","ENST00000481023.5"
"case","4.283895e-01","4.853988e+00"
"control","    1.070963","0.000000e+00"
"case","2.069715e+01","0.000000e+00"
"control","2.122093e+00","0.000000e+00"
"case","8.794895e+00","0.000000e+00"
"control","0.000000e+00","0.000000e+00"
"case","4.326106e+01","2.205602e+02"
"control","7.581303e+00","0.000000e+00"
"case","7.542741e-01","0.000000e+00"
"case","9.104646e+00","0.000000e+00"
"case","    8.529401","0.000000e+00"
"control","    0.000000","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","7.599131e-01"
"case","   10.258884","2.784232e+00"
"control","    9.910450","1.844708e+00"
"case","3.635293e+00","2.165512e+00"
"case","1.665088e+01","2.999715e+00"
"control","    2.19416","8.255188e-01"
"case","    7.345359","0.000000e+00"
"control","    3.135288","2.308314e+00"
"case","    7.922413","1.826811e+00"
"case","5.538186e+00","7.370376e-01"
"control","0.000000e+00","3.970313e+01"
"control","3.795748e+00","0.000000e+00"
"case","    1.317490","0.000000e+00"
"control","    2.687381","0.000000e+00"
"case","    6.717306","1.151880e+00"
"case","1.257031e+01","3.590463e+00"
"case","    0.000000","      0.0000"
"case","1.743626e+00","0.000000e+00"
"case","8.550097e+00","2.169454e+00"
"control","    0.000000","2.416645e+00"
"control","    1.024218","0.000000e+00"
"control","    3.854194","0.000000e+00"
"case","    0.000000","2.648943e+00"
"control","    8.163448","9.070846e-01"
"control","    4.710860","6.994760e-01"
"control","9.905626e-01","0.000000e+00"
"case","    7.642918","8.532606e-01"
"control","    5.246095","9.492379e-01"
"case","    8.284268","0.000000e+00"
"case","    3.707606","0.000000e+00"
"case","    4.971615","1.522261e+00"
"control","8.378125e-01","6.987138e+00"
"case","7.697282e-01","0.000000e+00"
"case","   18.365336","1.497009e+00"
"control","1.505807e+00","5.859475e-01"
"case","    1.083699","0.000000e+00"
"case","5.837765e+00","1.281684e+00"
"control","    6.591236","1.675987e+00"
"case","    2.111611","0.000000e+00"
"control","    0.000000","0.000000e+00"
"case","    1.262759","3.748841e+00"
"case","    5.531291","0.000000e+00"
"case","    9.721465","2.252223e+00"
"case","3.923682e+00","0.000000e+00"
"case","    1.447026","3.000690e+00"
