# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:19
# SEK
#----------------------------

"status","3184","ENST00000646074.1"
"case","1.713558e+01","0.000000e+00"
"control","    3.212888","1.893282e+01"
"case","1.121096e+01","3.772626e+00"
"control","2.122093e+00","1.751582e+01"
"case","1.599072e+00","1.888699e+01"
"control","0.000000e+00","1.529008e+01"
"case","2.856862e+00","0.000000e+00"
"control","0.000000e+00","3.019880e+01"
"case","7.542741e-01","9.301602e+00"
"case","1.300664e+00","2.001584e+01"
"case","    0.000000","6.726140e+00"
"control","    0.000000","2.157982e+01"
"case","   94.368152","2.717910e+02"
"control","    0.000000","1.443835e+01"
"case","    3.847082","5.568465e+00"
"control","    1.415779","5.534125e+00"
"case","1.817646e+00","1.299307e+01"
"case","1.110059e+01","1.724836e+01"
"control","    0.00000","1.485934e+01"
"case","    2.098674","2.135430e+01"
"control","    0.000000","1.538876e+01"
"case","    0.000000","1.552789e+01"
"case","1.846062e+00","2.211113e+01"
"control","0.000000e+00","0.000000e+00"
"control","4.744685e+00","1.362747e+01"
"case","    0.000000","1.209089e+01"
"control","    2.687381","1.402154e+01"
"case","    6.717306","1.612631e+01"
"case","0.000000e+00","1.148948e+01"
"case","    3.359339","     15.7248"
"case","1.394901e+01","0.000000e+00"
"case","9.500108e-01","7.954663e+00"
"control","    0.000000","1.530542e+01"
"control","    0.000000","1.829325e+01"
"control","    0.000000","1.584989e+01"
"case","    2.349239","2.119155e+01"
"control","    4.081724","1.995586e+01"
"control","    0.000000","1.119162e+01"
"control","6.636769e+01","0.000000e+00"
"case","    2.183691","1.109239e+01"
"control","    2.623048","2.278171e+01"
"case","    1.380711","2.161454e+01"
"case","    0.000000","2.908947e+01"
"case","    0.000000","2.207278e+01"
"control","0.000000e+00","1.270389e+01"
"case","1.955110e+02","1.472694e+01"
"case","    0.000000","2.919169e+01"
"control","0.000000e+00","1.406274e+01"
"case","    0.000000","1.393889e+01"
"case","8.339664e-01","1.538021e+01"
"control","    0.000000","1.256990e+01"
"case","    8.446444","2.451859e+01"
"control","    1.020009","0.000000e+00"
"case","    0.000000","8.434892e+00"
"case","    0.000000","6.786032e+00"
"case","    0.000000","8.258151e+00"
"case","9.809206e-01","1.041922e+01"
"case","    2.170539","1.350310e+01"
