# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:20
# SEK
#----------------------------

"status","K-42","ENST00000639953.1"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","1.901887e+02"
"case","5.174287e+00","1.222331e+02"
"control","4.951549e+00","1.897548e+02"
"case","4.797215e+00","1.852724e+02"
"control","0.000000e+00","2.366904e+02"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","2.325950e+02"
"case","7.542741e-01","2.052996e+02"
"case","6.503319e-01","2.633334e+02"
"case","    0.000000","2.805761e+02"
"control","    1.347212","1.746938e+02"
"case","    0.000000","0.000000e+00"
"control","    0.000000","1.421038e+02"
"case","    3.847082","2.394440e+02"
"control","    0.000000","1.872379e+02"
"case","0.000000e+00","1.696318e+02"
"case","0.000000e+00","1.274879e+02"
"control","    1.09708","2.385749e+02"
"case","    0.000000","2.874618e+02"
"control","    9.405865","2.092871e+02"
"case","    0.000000","1.954688e+02"
"case","9.230309e-01","2.719669e+02"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","1.211331e+02"
"case","    6.587451","2.634086e+02"
"control","    4.031072","1.602461e+02"
"case","    0.000000","1.140361e+02"
"case","9.669471e-01","2.419972e+02"
"case","    0.000000","    199.9296"
"case","3.182118e+02","3.835454e+01"
"case","1.900022e+00","1.554775e+02"
"control","    1.181335","1.723873e+02"
"control","    0.000000","1.957377e+02"
"control","    0.000000","6.051775e+01"
"case","    0.000000","1.765962e+02"
"control","    0.000000","1.868594e+02"
"control","    3.140573","1.986512e+02"
"control","9.905626e-01","6.649070e+02"
"case","    0.000000","1.467608e+02"
"control","    0.000000","1.926953e+02"
"case","    1.380711","1.804344e+02"
"case","    0.000000","1.498549e+02"
"case","    0.000000","1.849547e+02"
"control","3.351250e+00","1.225925e+02"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","1.758986e+02"
"control","2.258711e+00","2.390666e+02"
"case","    1.083699","1.451285e+02"
"case","0.000000e+00","1.730273e+02"
"control","    6.591236","2.094983e+02"
"case","    0.000000","2.724288e+02"
"control","   31.620288","1.337691e+01"
"case","    0.000000","1.462048e+02"
"case","    1.106258","2.056168e+02"
"case","    1.080163","1.478960e+02"
"case","9.809206e-01","2.009422e+02"
"case","    0.000000","1.825420e+02"
