# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:16
# SEK
#----------------------------

"status","K-42","ENST00000525537.2"
"case","1.195207e+02","1.698896e+02"
"control","    7.496739","1.101546e+02"
"case","5.174287e+00","1.282693e+02"
"control","4.951549e+00","1.211511e+02"
"case","4.797215e+00","1.196176e+02"
"control","0.000000e+00","1.584052e+02"
"case","8.162464e-01","2.703641e+02"
"control","6.823173e+00","1.580618e+02"
"case","7.542741e-01","1.056396e+02"
"case","6.503319e-01","1.476169e+02"
"case","    0.000000","2.796153e+02"
"control","    1.347212","1.531140e+02"
"case","    0.000000","1.177761e+02"
"control","    0.000000","1.253857e+02"
"case","    3.847082","1.754066e+02"
"control","    0.000000","1.383531e+02"
"case","0.000000e+00","1.465330e+02"
"case","0.000000e+00","1.709838e+02"
"control","    1.09708","2.278432e+02"
"case","    0.000000","2.496811e+02"
"control","    9.405865","1.585042e+02"
"case","    0.000000","2.301782e+02"
"case","9.230309e-01","3.021854e+02"
"control","2.645818e+01","2.646875e+01"
"control","1.897874e+00","1.355176e+02"
"case","    6.587451","2.513177e+02"
"control","    4.031072","2.343600e+02"
"case","    0.000000","1.624150e+02"
"case","9.669471e-01","1.931669e+02"
"case","    0.000000","    279.6768"
"case","3.182118e+02","1.598106e+01"
"case","1.900022e+00","1.684942e+02"
"control","    1.181335","2.303868e+02"
"control","    0.000000","2.497028e+02"
"control","    0.000000","1.512944e+02"
"case","    0.000000","1.845431e+02"
"control","    0.000000","2.222357e+02"
"control","    3.140573","1.860606e+02"
"control","9.905626e-01","1.828743e+02"
"case","    0.000000","1.680923e+02"
"control","    0.000000","2.078831e+02"
"case","    1.380711","1.888923e+02"
"case","    0.000000","1.710108e+02"
"case","    0.000000","1.560317e+02"
"control","3.351250e+00","1.111590e+02"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","1.826352e+02"
"control","2.258711e+00","2.220741e+02"
"case","    1.083699","1.410288e+02"
"case","0.000000e+00","2.198088e+02"
"control","    6.591236","2.463700e+02"
"case","    0.000000","2.615317e+02"
"control","   31.620288","1.279724e+03"
"case","    0.000000","1.865048e+02"
"case","    1.106258","2.198674e+02"
"case","    1.080163","1.388871e+02"
"case","9.809206e-01","1.853133e+02"
"case","    0.000000","1.645378e+02"
