# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:07
# SEK
#----------------------------

"status","4017","ENST00000393362.8"
"case","1.370846e+01","1.164957e+02"
"control","   13.922515","7.745243e+00"
"case","8.623812e+00","2.640838e+01"
"control","1.556201e+01","2.919304e+01"
"case","1.918886e+01","3.957274e+01"
"control","0.000000e+00","1.529008e+01"
"case","1.661061e+02","1.223754e+03"
"control","9.097564e+00","2.313100e+01"
"case","1.508548e+00","3.189121e+01"
"case","0.000000e+00","3.752971e+01"
"case","    0.000000","3.939596e+01"
"control","    0.000000","2.157982e+01"
"case","   21.602348","0.000000e+00"
"control","    3.131746","2.051765e+01"
"case","    0.000000","2.134578e+01"
"control","   11.326228","2.490356e+01"
"case","2.726470e+00","3.753554e+01"
"case","9.250488e-01","2.024808e+01"
"control","    0.00000","1.568486e+01"
"case","    0.000000","2.381826e+01"
"control","   13.586250","2.000539e+01"
"case","    0.000000","2.374854e+01"
"case","0.000000e+00","2.727039e+01"
"control","7.116339e+01","2.911563e+02"
"control","5.693622e+00","2.044121e+01"
"case","    0.000000","3.540903e+01"
"control","   10.749525","2.604000e+01"
"case","    1.679327","2.649323e+01"
"case","4.834736e+00","2.010659e+01"
"case","    0.000000","     34.8192"
"case","0.000000e+00","0.000000e+00"
"case","1.900022e+00","1.807878e+01"
"control","    1.181335","2.980528e+01"
"control","    0.000000","1.280527e+01"
"control","    1.927097","7.204494e+00"
"case","    0.000000","2.560645e+01"
"control","    1.020431","2.449128e+01"
"control","    0.000000","2.308271e+01"
"control","1.981125e+00","7.454115e+01"
"case","    1.091845","2.047826e+01"
"control","    0.000000","2.373095e+01"
"case","    0.000000","2.443382e+01"
"case","    0.000000","1.674848e+01"
"case","    8.700326","2.435617e+01"
"control","6.702500e+00","2.350219e+01"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","1.571860e+01"
"control","7.529037e-01","2.109411e+01"
"case","    0.000000","2.377811e+01"
"case","3.335866e+00","1.666189e+01"
"control","    9.227730","2.094983e+01"
"case","    0.000000","3.450765e+01"
"control","    7.140065","2.229485e+01"
"case","    0.000000","2.905352e+01"
"case","    0.000000","3.935898e+01"
"case","    1.080163","1.501482e+01"
"case","4.904603e+00","1.414037e+01"
"case","    3.617565","2.050471e+01"
