# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:08
# SEK
#----------------------------

"status","4017","ENST00000464038.5"
"case","1.370846e+01","0.000000e+00"
"control","   13.922515","0.000000e+00"
"case","8.623812e+00","7.545253e-01"
"control","1.556201e+01","7.298260e-01"
"case","1.918886e+01","2.698142e+00"
"control","0.000000e+00","0.000000e+00"
"case","1.661061e+02","2.134454e+01"
"control","9.097564e+00","6.425277e-01"
"case","1.508548e+00","6.644001e-01"
"case","0.000000e+00","1.250990e+00"
"case","    0.000000","9.608772e-01"
"control","    0.000000","0.000000e+00"
"case","   21.602348","0.000000e+00"
"control","    3.131746","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","   11.326228","1.844708e+00"
"case","2.726470e+00","0.000000e+00"
"case","9.250488e-01","0.000000e+00"
"control","    0.00000","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","   13.586250","0.000000e+00"
"case","    0.000000","0.000000e+00"
"case","0.000000e+00","1.474075e+00"
"control","7.116339e+01","0.000000e+00"
"control","5.693622e+00","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","   10.749525","3.004615e+00"
"case","    1.679327","0.000000e+00"
"case","4.834736e+00","1.436185e+00"
"case","    0.000000","      1.1232"
"case","0.000000e+00","0.000000e+00"
"case","1.900022e+00","0.000000e+00"
"control","    1.181335","0.000000e+00"
"control","    0.000000","0.000000e+00"
"control","    1.927097","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","    1.020431","0.000000e+00"
"control","    0.000000","0.000000e+00"
"control","1.981125e+00","0.000000e+00"
"case","    1.091845","0.000000e+00"
"control","    0.000000","0.000000e+00"
"case","    0.000000","0.000000e+00"
"case","    0.000000","8.814992e-01"
"case","    8.700326","0.000000e+00"
"control","6.702500e+00","0.000000e+00"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","0.000000e+00"
"control","7.529037e-01","5.859475e-01"
"case","    0.000000","0.000000e+00"
"case","3.335866e+00","0.000000e+00"
"control","    9.227730","8.379933e-01"
"case","    0.000000","0.000000e+00"
"control","    7.140065","4.458970e+00"
"case","    0.000000","0.000000e+00"
"case","    0.000000","0.000000e+00"
"case","    1.080163","3.002964e+00"
"case","4.904603e+00","0.000000e+00"
"case","    3.617565","5.001150e-01"
