# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:23
# SEK
#----------------------------

"status","4017","ENST00000346473.7"
"case","1.370846e+01","0.000000e+00"
"control","   13.922515","1.893282e+01"
"case","8.623812e+00","1.131788e+01"
"control","1.556201e+01","8.028086e+00"
"case","1.918886e+01","1.349071e+01"
"control","0.000000e+00","1.284366e+01"
"case","1.661061e+02","0.000000e+00"
"control","9.097564e+00","8.352860e+00"
"case","1.508548e+00","1.195920e+01"
"case","0.000000e+00","6.880446e+00"
"case","    0.000000","1.345228e+01"
"control","    0.000000","1.233133e+01"
"case","   21.602348","0.000000e+00"
"control","    3.131746","1.215861e+01"
"case","    0.000000","4.640387e+00"
"control","   11.326228","1.568002e+01"
"case","2.726470e+00","8.662047e+00"
"case","9.250488e-01","8.999146e+00"
"control","    0.00000","6.604151e+00"
"case","    0.000000","1.149847e+01"
"control","   13.586250","5.386065e+00"
"case","    0.000000","3.653622e+00"
"case","0.000000e+00","8.107414e+00"
"control","7.116339e+01","0.000000e+00"
"control","5.693622e+00","4.542491e+00"
"case","    0.000000","1.899997e+01"
"control","   10.749525","8.012306e+00"
"case","    1.679327","9.215037e+00"
"case","4.834736e+00","1.507994e+01"
"case","    0.000000","     14.6016"
"case","0.000000e+00","0.000000e+00"
"case","1.900022e+00","7.954663e+00"
"control","    1.181335","1.047213e+01"
"control","    0.000000","7.317299e+00"
"control","    1.927097","1.296809e+01"
"case","    0.000000","7.946830e+00"
"control","    1.020431","9.070846e-01"
"control","    0.000000","1.189109e+01"
"control","1.981125e+00","1.987764e+00"
"case","    1.091845","1.279891e+01"
"control","    0.000000","9.492379e+00"
"case","    0.000000","1.033739e+01"
"case","    0.000000","3.525997e+00"
"case","    8.700326","1.902826e+01"
"control","6.702500e+00","1.715025e+01"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","1.347309e+01"
"control","7.529037e-01","1.406274e+01"
"case","    0.000000","1.475883e+01"
"case","3.335866e+00","1.281684e+01"
"control","    9.227730","1.508388e+01"
"case","    0.000000","1.816192e+00"
"control","    7.140065","0.000000e+00"
"case","    0.000000","1.499536e+01"
"case","    0.000000","1.560787e+01"
"case","    1.080163","1.276260e+01"
"case","4.904603e+00","8.186532e+00"
"case","    3.617565","8.001839e+00"
