# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:08
# SEK
#----------------------------

"status","UID-142","ENST00000397072.7"
"case","4.283895e-01","0.000000e+00"
"control","    1.070963","8.605825e-01"
"case","2.069715e+01","0.000000e+00"
"control","2.122093e+00","2.919304e+00"
"case","8.794895e+00","8.993805e-01"
"control","0.000000e+00","3.669618e+00"
"case","4.326106e+01","1.209524e+03"
"control","7.581303e+00","1.285055e+00"
"case","7.542741e-01","5.979601e+00"
"case","9.104646e+00","7.505942e+00"
"case","    8.529401","1.825667e+01"
"control","    0.000000","6.165664e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","7.599131e+00"
"case","   10.258884","7.424619e+00"
"control","    9.910450","1.199060e+01"
"case","3.635293e+00","8.662047e+00"
"case","1.665088e+01","6.749359e+00"
"control","    2.19416","4.953113e+00"
"case","    7.345359","1.067715e+01"
"control","    3.135288","6.155503e+00"
"case","    7.922413","5.480433e+00"
"case","5.538186e+00","8.844452e+00"
"control","0.000000e+00","0.000000e+00"
"control","3.795748e+00","6.813736e+00"
"case","    1.317490","1.122725e+01"
"control","    2.687381","9.013845e+00"
"case","    6.717306","1.267068e+01"
"case","1.257031e+01","7.899018e+00"
"case","    0.000000","     12.3552"
"case","1.743626e+00","0.000000e+00"
"case","8.550097e+00","4.338907e+00"
"control","    0.000000","1.127768e+01"
"control","    1.024218","7.317299e+00"
"control","    3.854194","4.322697e+00"
"case","    0.000000","7.063849e+00"
"control","    8.163448","6.349592e+00"
"control","    4.710860","6.295284e+00"
"control","9.905626e-01","0.000000e+00"
"case","    7.642918","8.532606e+00"
"control","    5.246095","4.746189e+00"
"case","    8.284268","7.518100e+00"
"case","    3.707606","1.057799e+01"
"case","    4.971615","9.133565e+00"
"control","8.378125e-01","5.716749e+00"
"case","7.697282e-01","0.000000e+00"
"case","   18.365336","5.239533e+00"
"control","1.505807e+00","1.757843e+00"
"case","    1.083699","8.199348e+00"
"case","5.837765e+00","3.204210e+00"
"control","    6.591236","5.865953e+00"
"case","    2.111611","1.362144e+01"
"control","    0.000000","1.783588e+01"
"case","    1.262759","8.434892e+00"
"case","    5.531291","9.500444e+00"
"case","    9.721465","6.005928e+00"
"case","3.923682e+00","5.209611e+00"
"case","    1.447026","4.501035e+00"
